task_id,dataset_name,regime,tipo,model,split,auc_ovo,acc,g_mean,ce,time_seconds,error
363626,credit-g,medio,binario,catboost,test,0.7741798941798942,0.76,0.6047431568147635,0.5750907178553519,40.03,
363626,credit-g,medio,binario,catboost,train,1.0,1.0,1.0,0.0192244647754166,40.03,
363626,credit-g,medio,binario,xgboost,test,0.7546560846560846,0.76,0.6487676555589612,0.5889183033445959,3.43,
363626,credit-g,medio,binario,xgboost,train,1.0,1.0,1.0,0.0625386281938922,3.43,
363626,credit-g,medio,binario,autogluon_default,test,0.8025396825396827,0.78,0.6708203932499369,0.4834836096893641,5.74,
363626,credit-g,medio,binario,autogluon_default,train,0.9827502429543246,0.9514285714285714,0.9268115190462054,0.2275745289855129,5.74,
363626,credit-g,medio,binario,autogluon_extreme,test,0.8095238095238095,0.78,0.6470527402594387,0.4738846394442532,1498.86,
363626,credit-g,medio,binario,autogluon_extreme,train,0.9946355685131196,0.9442857142857144,0.904088542839948,0.2740061156427371,1498.86,
363685,maternal_health_risk,medio,multiclasse,mambular,test,0.8897356898824628,0.6950819672131148,0.6993472835768906,0.6255818734661535,313.71,
363685,maternal_health_risk,medio,multiclasse,mambular,train,0.9303745879532512,0.764456981664316,0.7684868361540625,0.4978434656572685,313.71,
363685,maternal_health_risk,medio,multiclasse,lightgbm,test,0.9431408954569988,0.8459016393442623,0.8432144613915736,0.4536620414825219,9.38,
363685,maternal_health_risk,medio,multiclasse,lightgbm,train,0.991308678874291,0.928067700987306,0.9298207267669574,0.2022754809293485,9.38,
363685,maternal_health_risk,medio,multiclasse,catboost,test,0.9467435797958044,0.8295081967213115,0.8311668893974169,0.4263972782058189,18.08,
363685,maternal_health_risk,medio,multiclasse,catboost,train,0.990113414717495,0.922425952045134,0.9237042649203484,0.2290299958245747,18.08,
363685,maternal_health_risk,medio,multiclasse,xgboost,test,0.9424761448555892,0.8524590163934426,0.8493628447764129,0.4362629337682036,6.16,
363685,maternal_health_risk,medio,multiclasse,xgboost,train,0.9897027874601098,0.92524682651622,0.9261215289639754,0.2444910049234461,6.16,
363685,maternal_health_risk,medio,multiclasse,autogluon_default,test,0.9476273846896884,0.8295081967213115,0.8214768726758646,0.6835677721987609,27.78,
363685,maternal_health_risk,medio,multiclasse,autogluon_default,train,0.9875843808652588,0.9069111424541608,0.9049780393455632,0.5923910593644931,27.78,
363685,maternal_health_risk,medio,multiclasse,autogluon_extreme,test,0.9523840628764996,0.839344262295082,0.8396414758995966,0.4040158568199122,2522.08,
363685,maternal_health_risk,medio,multiclasse,autogluon_extreme,train,0.9926576226676972,0.930888575458392,0.9322212977310372,0.197039918189752,2522.08,
